,Наименование,ГОСТ,Тип_продукции,Размер_A,Типоразмер,Марка,Примечание_для_размера,Размер_B,Толщина,Диапазон_min,Диапазон_max,Размер_C,Минимальная_длина,Максимальная_длина,Упаковка,Примечание_для_цены,Тип_материала,Основная_марка,Свариваемость,Тип_стандарта,Номер_стандарта,Год_стандарта,Категория_цены,Звоните,Цена,Условие_цены
0,Арматура А1,,Число,8.0,,,,,,,,,6.0,6.0,,,Сталь,ст3,0,не указан,,0,р./т,False,47990.0,1-5т
1,Арматура А1,,Число,18.0,,,,,,,,,11.7,11.7,,,Сталь,ст3,0,не указан,,0,р./т,False,46500.0,
2,Арматура А1,,Число,40.0,,,,,,,,,11.7,11.7,,,Сталь,ст3,0,не указан,,0,р./т,False,50990.0,1-5т
3,Арматура А1,,Число,36.0,,,,,,,,,11.7,11.7,,,Сталь,ст3,0,не указан,,0,р./т,False,49490.0,1-5т
4,Арматура А1,,Число,32.0,,,,,,,,,11.7,11.7,,,Сталь,ст3,0,не указан,,0,р./т,False,49990.0,1-5т
5,Арматура А1,,Число,28.0,,,,,,,,,11.7,11.7,,,Сталь,ст3,0,не указан,,0,р./т,False,46990.0,1-5т
6,Арматура А1,,Число,25.0,,,,,,,,,11.7,11.7,,,Сталь,а240,0,не указан,,0,р./т,False,46490.0,1-5т
7,Арматура А1,,Число,22.0,,,,,,,,,11.7,11.7,,,Сталь,а240,0,не указан,,0,р./т,False,46490.0,1-5т
8,Арматура А1,,Число,20.0,,,,,,,,,11.7,11.7,,,Сталь,а240,0,не указан,,0,р./т,False,46990.0,1-5т
9,Арматура А1,,Число,18.0,,,,,,,,,11.7,11.7,,,Сталь,а240,0,не указан,,0,р./т,False,46490.0,1-5т
10,Арматура А1,,Число,16.0,,,,,,,,,11.7,11.7,,,Сталь,а240с,1,не указан,,0,р./т,False,46490.0,1-5т
11,Арматура А1,,Число,14.0,,,,,,,,,6.0,6.0,,,Сталь,ст3,0,не указан,,0,р./т,False,46990.0,1-5т
