,"Цена, р./кг",Сталь,"Цена, р./м2",Доп. размер,"Цена, р./пог.м",Размер,"Цена, р./шт.",Наименование,ГОСТ,"Цена, р./т"
0,,ст3,,6,, 8,,Арматура А1  , ,47 990 1-5т
1,,ст3,,11.7,, 18,,Арматура А1  , ,46 500 
2,,ст3,,11.7,, 40,,Арматура А1  , ,50 990 1-5т
3,,ст3,,11.7,, 36,,Арматура А1  , ,49 490 1-5т
4,,ст3,,11.7,, 32,,Арматура А1  , ,49 990 1-5т
5,,ст3,,11.7,, 28,,Арматура А1  , ,46 990 1-5т
6,,А240,,11.7,, 25,,Арматура А1  , ,46 490 1-5т
7,,А240,,11.7,, 22,,Арматура А1  , ,46 490 1-5т
8,,А240,,11.7,, 20,,Арматура А1  , ,46 990 1-5т
9,,А240,,11.7,, 18,,Арматура А1  , ,46 490 1-5т
10,,А240С,,11.7,, 16,,Арматура А1  , ,46 490 1-5т
11,,ст3,,6,, 14,,Арматура А1  , ,46 990 1-5т
12,,А240,,11.7,, 14,,Арматура А1  , ,46 490 1-5т
13,,ст3,,11.7,, 12,,Арматура А1  , ,48 490 1-5т
14,,ст3,,бухты,, 12,,Арматура А1  , ,46 990 1-5т
15,,ст3,,11.7,, 16,,Арматура А1  , ,46 500 
16,,ст3,,6,, 12,,Арматура А1  , ,47 990 1-5т
17,,А240С,,6,, 10,,Арматура А1  , ,48 190 1-5т
18,,А240С,,бухты,, 10,,Арматура А1  , ,47 190 1-5т
19,,ст3,,6,, 10,,Арматура А1  , ,48 190 1-5т
20,,А240,,6,, 8,,Арматура А1  , ,47 990 1-5т
21,,А240,,11.7,, 8,,Арматура А1  , ,48 190 1-5т
22,,А240,,бухты,, 8,,Арматура А1  , ,46 990 1-5т
23,,ст3,,12,, 18,,Арматура А1  , ,46 300 
24,,А240,,6,, 6,,Арматура А1  , ,48 190 1-5т
25,,А240,,бухты,, 6,,Арматура А1  , ,47 190 1-5т
26,,ст3,,6,, 6,,Арматура А1  , ,48 190 1-5т
27,,ст3,,11.7,, 20,,Арматура А1  , ,46 500 
28,,ст3,,11.7,, 22,,Арматура А1  , ,46 500 
29,,ст3,,12,, 22,,Арматура А1  , ,46 500 
30,,ст3,,6-11.7,, 22,,Арматура А1  , ,42 300 
31,,А240С,,11.7,, 10,,Арматура А1  , ,48 490 1-5т
32,,ст3,,11.7,, 12,,Арматура А1  , ,48 000 
33,,ст3,,11.7,, 14,,Арматура А1  , ,46 500 
34,,ст3,,6,, 8,,Арматура А1  , ,48 500 
35,,ст3,,11.7,, 16,,Арматура А1  , ,46 500 >2т
36,,ст3,,11.7,, 14,,Арматура А1  , ,46 500 >2т
37,,ст3,,11.7,, 12,,Арматура А1  , ,47 000 >2т
38,,ст3,,11.7,, 10,,Арматура А1  , ,49 000 >2т
39,,ст3,,бухты,, 10,,Арматура А1  , ,47 000 
40,,ст3,,6,, 6,,Арматура А1  , ,49 000 
41,,ст3,,бухты,, 6,,Арматура А1  , ,47 500 
42,,ст3,,11.7,, 8,,Арматура А1  , ,48 500 
43,,ст3,,бухты,, 8,,Арматура А1  , ,47 000 
44,,ст3,,11.7,, 20,,Арматура А1  , ,46 500 >2т
45,,ст3,,11.7,, 10,,Арматура А1  , ,48 500 
46,,А240,,11.7,, 22,,Арматура А1  , ,звоните 
47,,3сп,,11.7,, 20,,Арматура А1  , ,звоните 
48,,А240,,11.7,, 16,,Арматура А1  , ,звоните 
49,,3сп,,11.7,, 14,,Арматура А1  , ,звоните 
50,,3сп,,11.7,, 12,,Арматура А1  , ,звоните 
51,,3сп,,бухты,, 12,,Арматура А1  , ,звоните 
52,,3сп,,11.7,, 10,,Арматура А1  , ,звоните 
53,,3сп,,бухты,, 10,,Арматура А1  , ,звоните 
54,,А240,,11.7,, 8,,Арматура А1  , ,звоните 
55,,ст3,,6,, 10,,Арматура А1  , ,48 500 
56,,А500С,,11.7,, 25,,Арматура А3  , ,47 100 >2т
